,source_id,experiment_id,member_id,variable_id,file_name
72,MRI-ESM2-0,abrupt-4xCO2,r2i1p1f1,rsut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r2i1p1f1_rsut.npy
73,MRI-ESM2-0,abrupt-4xCO2,r10i1p1f1,rlut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r10i1p1f1_rlut.npy
74,MPI-ESM1-2-LR,1pctCO2,r1i1p1f1,ts,pangeo_data/MPI-ESM1-2-LR_1pctCO2_r1i1p1f1_ts.npy
75,MCM-UA-1-0,abrupt-4xCO2,r1i1p1f1,tos,pangeo_data/MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_tos.npy
76,BCC-ESM1,abrupt-4xCO2,r1i1p1f1,tos,pangeo_data/BCC-ESM1_abrupt-4xCO2_r1i1p1f1_tos.npy
77,MRI-ESM2-0,abrupt-4xCO2,r11i1p1f1,rsut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r11i1p1f1_rsut.npy
78,MRI-ESM2-0,abrupt-4xCO2,r3i1p1f1,rlut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r3i1p1f1_rlut.npy
79,UKESM1-0-LL,1pctCO2,r3i1p1f2,tos,pangeo_data/UKESM1-0-LL_1pctCO2_r3i1p1f2_tos.npy
80,CNRM-CM6-1,abrupt-4xCO2,r6i1p1f2,tos,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_tos.npy
81,MRI-ESM2-0,abrupt-4xCO2,r6i1p1f1,rtmt,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r6i1p1f1_rtmt.npy
82,CAMS-CSM1-0,1pctCO2,r1i1p1f1,tos,pangeo_data/CAMS-CSM1-0_1pctCO2_r1i1p1f1_tos.npy
83,CNRM-ESM2-1,1pctCO2,r4i1p1f2,tos,pangeo_data/CNRM-ESM2-1_1pctCO2_r4i1p1f2_tos.npy
84,CNRM-ESM2-1,piControl,r1i1p1f2,ts,pangeo_data/CNRM-ESM2-1_piControl_r1i1p1f2_ts.npy
85,MPI-ESM-1-2-HAM,piControl,r1i1p1f1,ts,pangeo_data/MPI-ESM-1-2-HAM_piControl_r1i1p1f1_ts.npy
86,CNRM-ESM2-1,1pctCO2,r3i1p1f2,rsdt,pangeo_data/CNRM-ESM2-1_1pctCO2_r3i1p1f2_rsdt.npy
87,MPI-ESM1-2-HR,1pctCO2,r1i1p1f1,ts,pangeo_data/MPI-ESM1-2-HR_1pctCO2_r1i1p1f1_ts.npy
88,GISS-E2-1-G,piControl,r1i1p1f3,tos,pangeo_data/GISS-E2-1-G_piControl_r1i1p1f3_tos.npy
89,CNRM-CM6-1,abrupt-4xCO2,r2i1p1f2,tos,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_tos.npy
90,UKESM1-0-LL,abrupt-4xCO2,r1i1p1f2,ts,pangeo_data/UKESM1-0-LL_abrupt-4xCO2_r1i1p1f2_ts.npy
91,CNRM-CM6-1,abrupt-4xCO2,r5i1p1f2,ts,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r5i1p1f2_ts.npy
92,ACCESS-CM2,abrupt-4xCO2,r1i1p1f1,ts,pangeo_data/ACCESS-CM2_abrupt-4xCO2_r1i1p1f1_ts.npy
93,CNRM-CM6-1,abrupt-4xCO2,r2i1p1f2,ts,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r2i1p1f2_ts.npy
94,MRI-ESM2-0,piControl,r1i1p1f1,mlotst,pangeo_data/MRI-ESM2-0_piControl_r1i1p1f1_mlotst.npy
95,CNRM-ESM2-1,piControl,r1i1p1f2,tos,pangeo_data/CNRM-ESM2-1_piControl_r1i1p1f2_tos.npy
96,GISS-E2-1-G,1pctCO2,r102i1p1f1,ts,pangeo_data/GISS-E2-1-G_1pctCO2_r102i1p1f1_ts.npy
97,IPSL-CM6A-LR,abrupt-4xCO2,r3i1p1f1,tos,pangeo_data/IPSL-CM6A-LR_abrupt-4xCO2_r3i1p1f1_tos.npy
98,IPSL-CM6A-LR,abrupt-4xCO2,r11i1p1f1,ts,pangeo_data/IPSL-CM6A-LR_abrupt-4xCO2_r11i1p1f1_ts.npy
99,MRI-ESM2-0,1pctCO2,r1i2p1f1,rsdt,pangeo_data/MRI-ESM2-0_1pctCO2_r1i2p1f1_rsdt.npy
100,CNRM-CM6-1,1pctCO2,r1i1p1f2,rsut,pangeo_data/CNRM-CM6-1_1pctCO2_r1i1p1f2_rsut.npy
101,EC-Earth3,piControl,r1i1p1f1,tos,pangeo_data/EC-Earth3_piControl_r1i1p1f1_tos.npy
102,CESM2,abrupt-4xCO2,r1i1p1f1,tos,pangeo_data/CESM2_abrupt-4xCO2_r1i1p1f1_tos.npy
103,MRI-ESM2-0,abrupt-4xCO2,r7i1p1f1,ts,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r7i1p1f1_ts.npy
104,MCM-UA-1-0,abrupt-4xCO2,r1i1p1f1,ts,pangeo_data/MCM-UA-1-0_abrupt-4xCO2_r1i1p1f1_ts.npy
105,MRI-ESM2-0,abrupt-4xCO2,r4i1p1f1,rlut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r4i1p1f1_rlut.npy
106,HadGEM3-GC31-MM,piControl,r1i1p1f1,ts,pangeo_data/HadGEM3-GC31-MM_piControl_r1i1p1f1_ts.npy
107,MRI-ESM2-0,abrupt-4xCO2,r9i1p1f1,rtmt,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r9i1p1f1_rtmt.npy
108,GISS-E2-1-G,piControl,r1i1p1f3,mlotst,pangeo_data/GISS-E2-1-G_piControl_r1i1p1f3_mlotst.npy
